Well	M1	N1
WellIndex	0.000000	1.000000
Wavelength	470.000000	470.000000
Polarisation	2.000000	2.000000
AcquisitionStatus	1.000000	1.000000
PowerLevel	2595.000000	2662.000000
AcquisitionTime	20.000000	20.000000
0.000000	0.000000	0.000000
0.012207	0.000000	0.000000
0.024414	0.000000	0.000000
0.036621	0.000000	0.000000
0.048828	0.000000	0.000000
0.061035	0.000000	0.000000
0.073242	0.000000	0.000000
0.085449	0.000000	0.000000
0.097656	0.000000	0.000000
0.109863	0.000000	0.000000
0.122070	0.000000	0.000000
0.134277	0.000000	0.000000
0.146484	0.000000	0.000000
0.158691	0.000000	0.000000
0.170898	0.000000	0.000000
0.183105	0.000000	0.000000
0.195312	0.000000	0.000000
0.207520	0.000000	0.000000
0.219727	0.000000	0.000000
0.231934	0.000000	0.000000
0.244141	0.000000	0.000000
0.256348	0.000000	0.000000
0.268555	0.000000	0.000000
0.280762	0.000000	0.000000
0.292969	0.000000	0.000000
0.305176	0.000000	0.000000
0.317383	0.000000	0.000000
0.329590	0.000000	0.000000
0.341797	0.000000	0.000000
0.354004	0.000000	0.000000
0.366211	0.000000	0.000000
0.378418	0.000000	0.000000
0.390625	0.000000	0.000000
0.402832	0.000000	0.000000
0.415039	0.000000	0.000000
0.427246	0.000000	0.000000
0.439453	0.000000	0.000000
0.451660	0.000000	0.000000
0.463867	0.000000	0.000000
0.476074	0.000000	0.000000
0.488281	0.000000	0.000000
0.500488	0.000000	0.000000
0.512695	0.000000	0.000000
0.524902	0.000000	0.000000
0.537109	0.000000	0.000000
0.549316	0.000000	0.000000
0.561523	0.000000	0.000000
0.573730	0.000000	0.000000
0.585937	0.000000	0.000000
0.598145	0.000000	0.000000
0.610352	0.000000	0.000000
0.622559	0.000000	0.000000
0.634766	0.000000	0.000000
0.646973	0.000000	0.000000
0.659180	0.000000	0.000000
0.671387	0.000000	0.000000
0.683594	0.000000	0.000000
0.695801	0.000000	0.000000
0.708008	0.000000	0.000000
0.720215	0.000000	0.000000
0.732422	0.000000	0.000000
0.744629	0.000000	0.000000
0.756836	0.000000	0.000000
0.769043	0.000000	0.000000
0.781250	0.000000	0.000000
0.793457	0.000000	0.000000
0.805664	0.000000	0.000000
0.817871	0.000000	0.000000
0.830078	0.000000	0.000000
0.842285	0.000000	0.000000
0.854492	0.000000	0.000000
0.866699	0.000000	0.000000
0.878906	0.000000	0.000000
0.891113	0.000000	0.000000
0.903320	0.000000	0.000000
0.915527	0.000000	0.000000
0.927734	0.000000	0.000000
0.939941	0.000000	0.000000
0.952148	0.000000	0.000000
0.964355	0.000000	0.000000
0.976562	0.000000	0.000000
0.988770	0.000000	0.000000
1.000977	0.000000	0.000000
1.013184	0.000000	0.000000
1.025391	0.000000	0.000000
1.037598	0.000000	0.000000
1.049805	0.000000	0.000000
1.062012	0.000000	0.000000
1.074219	0.000000	0.000000
1.086426	0.000000	0.000000
1.098633	0.000000	0.000000
1.110840	0.000000	0.000000
1.123047	0.000000	0.000000
1.135254	0.000000	0.000000
1.147461	0.000000	0.000000
1.159668	0.000000	0.000000
1.171875	0.000000	0.000000
1.184082	0.000000	0.000000
1.196289	0.000000	0.000000
1.208496	0.000000	0.000000
1.220703	0.000000	0.000000
1.232910	0.000000	0.000000
1.245117	0.000000	0.000000
1.257324	0.000000	0.000000
1.269531	0.000000	0.000000
1.281738	0.000000	0.000000
1.293945	0.000000	0.000000
1.306152	0.000000	0.000000
1.318359	0.000000	0.000000
1.330566	0.000000	0.000000
1.342773	0.000000	0.000000
1.354980	0.000000	0.000000
1.367187	0.000000	0.000000
1.379395	0.000000	0.000000
1.391602	0.000000	0.000000
1.403809	0.000000	0.000000
1.416016	0.000000	0.000000
1.428223	0.000000	0.000000
1.440430	0.000000	0.000000
1.452637	0.000000	0.000000
1.464844	0.000000	0.000000
1.477051	0.000000	0.000000
1.489258	0.000000	0.000000
1.501465	0.000000	0.000000
1.513672	0.000000	0.000000
1.525879	0.000000	0.000000
1.538086	0.000000	0.000000
1.550293	0.000000	0.000000
1.562500	0.000000	0.000000
1.574707	0.000000	0.000000
1.586914	1.000000	0.000000
1.599121	0.000000	0.000000
1.611328	0.000000	0.000000
1.623535	0.000000	0.000000
1.635742	0.000000	0.000000
1.647949	0.000000	0.000000
1.660156	0.000000	0.000000
1.672363	0.000000	0.000000
1.684570	0.000000	0.000000
1.696777	0.000000	0.000000
1.708984	0.000000	0.000000
1.721191	0.000000	0.000000
1.733398	0.000000	0.000000
1.745605	0.000000	0.000000
1.757812	0.000000	0.000000
1.770020	0.000000	0.000000
1.782227	0.000000	0.000000
1.794434	0.000000	0.000000
1.806641	0.000000	0.000000
1.818848	0.000000	0.000000
1.831055	0.000000	0.000000
1.843262	0.000000	0.000000
1.855469	0.000000	0.000000
1.867676	0.000000	0.000000
1.879883	0.000000	0.000000
1.892090	0.000000	0.000000
1.904297	0.000000	0.000000
1.916504	0.000000	0.000000
